,ID,Product_Code,Median
100,100,P101,36.0
101,101,P102,31.0
102,102,P103,8.5
103,103,P104,3.5
104,104,P105,3.0
105,105,P106,11.0
106,106,P107,18.0
107,107,P108,3.0
108,108,P109,9.0
109,109,P110,9.0
110,110,P111,4.0
111,111,P112,33.5
112,112,P113,31.0
113,113,P114,9.0
114,114,P115,11.0
115,115,P116,9.0
116,116,P117,4.0
117,117,P118,9.0
118,118,P119,33.0
119,119,P120,32.0
120,120,P121,9.0
121,121,P122,9.0
122,122,P123,4.0
123,123,P124,4.0
124,124,P125,8.0
125,125,P126,4.0
126,126,P127,2.0
127,127,P128,35.5
128,128,P129,36.0
129,129,P130,32.0
130,130,P131,32.5
131,131,P132,36.0
132,132,P133,32.5
133,133,P134,34.5
134,134,P135,37.5
135,135,P136,36.0
136,136,P137,36.0
137,137,P138,32.0
138,138,P139,32.0
139,139,P140,34.0
140,140,P141,33.5
141,141,P142,32.0
142,142,P143,32.0
143,143,P144,9.0
144,144,P145,9.0
145,145,P146,8.0
146,146,P147,9.0
147,147,P148,4.0
148,148,P149,9.0
149,149,P150,4.0
150,150,P151,4.0
151,151,P152,9.0
152,152,P153,9.0
153,153,P154,8.0
154,154,P155,4.0
155,155,P156,4.0
156,156,P157,8.0
157,157,P158,3.0
158,158,P159,4.0
159,159,P160,8.5
160,160,P161,4.5
161,161,P162,9.0
162,162,P163,4.0
163,163,P164,9.0
164,164,P165,10.0
165,165,P166,10.0
166,166,P167,33.0
167,167,P168,34.0
168,168,P169,31.5
169,169,P170,33.0
170,170,P171,8.0
171,171,P172,34.5
172,172,P173,37.0
173,173,P174,36.5
174,174,P175,35.0
175,175,P176,31.0
176,176,P177,33.0
177,177,P178,37.0
178,178,P179,37.0
179,179,P180,35.0
180,180,P181,32.0
181,181,P182,29.0
182,182,P183,30.0
183,183,P184,33.0
184,184,P185,32.5
185,185,P186,35.0
186,186,P187,30.5
187,187,P188,32.0
188,188,P189,30.0
189,189,P190,36.0
190,190,P191,36.0
191,191,P192,31.5
192,192,P193,35.0
193,193,P194,31.0
194,194,P195,4.0
195,195,P196,31.5
196,196,P197,9.5
197,197,P198,9.0
198,198,P199,3.0
199,199,P200,17.0
200,200,P201,3.5
201,201,P202,15.0
202,202,P203,6.5
203,203,P204,2.0
204,204,P205,11.5
205,205,P206,2.0
206,206,P207,5.0
207,207,P208,31.0
208,208,P209,10.0
209,209,P210,12.5
210,210,P211,11.0
211,211,P212,0.0
212,212,P213,0.0
213,213,P214,0.0
214,214,P215,0.0
215,215,P216,0.0
216,216,P217,0.0
217,217,P218,0.0
218,218,P219,0.0
219,219,P220,0.0
220,220,P221,0.0
221,221,P222,0.0
222,222,P223,0.0
223,223,P224,0.0
224,224,P225,0.0
225,225,P226,0.0
226,226,P227,0.0
227,227,P228,0.0
228,228,P229,0.0
229,229,P230,0.0
230,230,P231,0.0
231,231,P232,0.0
232,232,P233,0.0
233,233,P234,0.0
234,234,P235,0.0
235,235,P236,0.0
236,236,P237,0.0
237,237,P238,0.0
238,238,P239,0.0
239,239,P240,0.0
240,240,P241,0.0
241,241,P242,0.0
242,242,P243,0.0
243,243,P244,0.0
244,244,P245,0.0
245,245,P246,0.0
246,246,P247,0.0
247,247,P248,0.0
248,248,P249,0.0
249,249,P250,0.0
250,250,P251,0.0
251,251,P252,0.0
252,252,P253,0.0
253,253,P254,0.0
254,254,P255,1.0
255,255,P256,0.0
256,256,P257,0.0
257,257,P258,0.0
258,258,P259,0.0
259,259,P260,0.0
260,260,P261,20.0
261,261,P262,31.0
262,262,P263,18.0
263,263,P264,9.0
264,264,P265,2.0
265,265,P266,9.0
266,266,P267,9.0
267,267,P268,18.0
268,268,P269,12.0
269,269,P270,19.5
270,270,P271,3.0
271,271,P272,0.0
272,272,P273,0.0
273,273,P274,0.0
274,274,P275,0.0
275,275,P276,0.0
276,276,P277,0.0
277,277,P278,0.0
278,278,P279,0.0
279,279,P280,0.0
280,280,P281,1.0
281,281,P282,0.0
282,282,P283,0.0
283,283,P284,18.0
284,284,P285,9.0
285,285,P286,18.0
286,286,P287,1.0
287,287,P288,1.0
288,288,P289,0.0
289,289,P290,0.0
290,290,P291,3.0
291,291,P292,3.0
292,292,P293,3.5
293,293,P294,9.0
294,294,P295,3.5
295,295,P296,4.0
296,296,P297,3.5
297,297,P298,4.0
298,298,P299,10.0
299,299,P300,4.0
300,300,P301,4.0
301,301,P302,4.0
302,302,P303,4.0
303,303,P304,8.0
304,304,P305,4.0
305,305,P306,3.0
306,306,P307,4.0
307,307,P308,4.0
308,308,P309,9.5
309,309,P310,4.0
310,310,P311,4.0
311,311,P312,4.0
312,312,P313,4.0
313,313,P314,9.5
314,314,P315,4.0
315,315,P316,4.0
316,316,P317,4.0
317,317,P318,3.0
318,318,P319,9.0
319,319,P320,4.0
320,320,P321,3.5
321,321,P322,3.0
322,322,P323,4.0
323,323,P324,9.0
324,324,P325,4.0
325,325,P326,4.0
326,326,P327,4.0
327,327,P328,4.0
328,328,P329,4.0
329,329,P330,4.0
330,330,P331,5.0
331,331,P332,9.0
332,332,P333,9.0
333,333,P334,10.0
334,334,P335,3.0
335,335,P336,4.0
336,336,P337,4.0
337,337,P338,2.5
338,338,P339,1.0
339,339,P340,0.0
340,340,P341,3.0
341,341,P342,2.0
342,342,P343,2.0
343,343,P344,1.0
344,344,P345,2.0
345,345,P346,0.0
346,346,P347,0.0
347,347,P348,0.0
348,348,P349,0.0
349,349,P350,0.0
350,350,P351,0.0
351,351,P352,0.0
352,352,P354,0.0
353,353,P355,0.0
354,354,P356,3.0
355,355,P357,2.0
356,356,P358,1.0
357,357,P359,5.0
358,358,P360,1.0
359,359,P361,3.0
360,360,P362,1.0
361,361,P363,0.0
362,362,P364,12.0
363,363,P365,3.0
364,364,P366,3.0
365,365,P367,2.0
366,366,P368,5.0
367,367,P369,4.0
368,368,P370,3.0
369,369,P371,2.0
370,370,P372,2.0
371,371,P373,1.0
372,372,P374,1.0
373,373,P375,0.0
374,374,P376,0.0
375,375,P377,0.0
376,376,P378,0.0
377,377,P379,0.0
378,378,P380,0.0
379,379,P381,0.0
380,380,P382,0.0
381,381,P383,0.0
382,382,P384,0.0
383,383,P386,0.0
384,384,P387,3.0
385,385,P388,3.0
386,386,P389,2.0
387,387,P390,3.0
388,388,P391,2.0
389,389,P392,5.0
390,390,P393,1.0
391,391,P394,2.0
392,392,P395,2.0
393,393,P396,2.0
394,394,P397,9.0
395,395,P398,12.0
396,396,P399,13.0
397,397,P400,14.5
398,398,P401,4.0
399,399,P402,3.5
400,400,P403,15.0
401,401,P404,8.5
402,402,P405,18.0
403,403,P406,13.5
404,404,P407,18.0
405,405,P408,11.5
406,406,P409,42.5
407,407,P410,16.0
408,408,P411,17.0
409,409,P412,3.0
410,410,P413,9.0
411,411,P414,3.0
412,412,P415,3.0
413,413,P416,1.0
414,414,P417,0.0
415,415,P418,0.0
416,416,P419,0.0
417,417,P420,0.0
418,418,P421,0.0
419,419,P422,1.0
420,420,P423,0.0
421,421,P424,0.0
422,422,P425,0.0
423,423,P426,0.0
424,424,P427,0.0
425,425,P428,0.0
426,426,P429,9.0
427,427,P430,12.0
428,428,P431,6.0
429,429,P432,7.5
430,430,P433,3.0
431,431,P434,2.0
432,432,P435,16.5
433,433,P436,8.0
434,434,P437,6.0
435,435,P438,0.0
436,436,P439,0.0
437,437,P440,0.0
438,438,P441,0.0
439,439,P442,0.0
440,440,P443,0.0
441,441,P444,0.0
442,442,P445,0.0
443,443,P446,0.0
444,444,P447,0.0
445,445,P448,0.0
446,446,P449,0.0
447,447,P450,0.0
448,448,P451,0.0
449,449,P452,0.0
450,450,P453,0.0
451,451,P454,0.0
452,452,P455,0.0
453,453,P456,0.0
454,454,P457,0.0
455,455,P458,0.0
456,456,P459,0.0
457,457,P460,0.0
458,458,P461,0.0
459,459,P462,0.0
460,460,P463,0.0
461,461,P464,0.0
462,462,P465,0.0
463,463,P466,0.0
464,464,P467,0.0
465,465,P468,0.0
466,466,P469,0.0
467,467,P470,0.0
468,468,P471,0.0
469,469,P472,0.0
470,470,P473,0.0
471,471,P474,0.0
472,472,P475,2.0
473,473,P476,1.0
474,474,P477,0.0
475,475,P478,1.0
476,476,P479,0.0
477,477,P480,0.0
478,478,P481,1.0
479,479,P482,0.0
480,480,P483,0.0
481,481,P484,4.0
482,482,P485,9.0
483,483,P486,18.0
484,484,P487,11.0
485,485,P488,10.0
486,486,P489,4.0
487,487,P490,8.0
488,488,P491,17.0
489,489,P492,10.0
490,490,P493,10.5
491,491,P494,11.0
492,492,P495,15.5
493,493,P496,9.0
494,494,P497,4.0
495,495,P498,3.5
496,496,P499,8.5
497,497,P500,6.0
498,498,P501,4.5
499,499,P502,13.0
500,500,P503,14.0
501,501,P504,11.0
502,502,P505,16.0
503,503,P506,11.5
504,504,P507,16.0
505,505,P508,9.0
506,506,P509,5.0
507,507,P510,7.0
508,508,P511,24.0
509,509,P512,17.0
510,510,P513,18.0
511,511,P514,11.0
512,512,P515,8.0
513,513,P516,19.0
514,514,P517,11.5
515,515,P518,9.0
516,516,P519,18.0
517,517,P520,12.0
518,518,P521,10.0
519,519,P522,10.0
520,520,P523,10.0
521,521,P524,10.0
522,522,P525,12.0
523,523,P526,15.0
524,524,P527,11.0
525,525,P528,10.0
526,526,P529,13.0
527,527,P530,15.0
528,528,P531,5.0
529,529,P532,8.5
530,530,P533,23.0
531,531,P534,9.0
532,532,P535,18.0
533,533,P536,11.0
534,534,P537,17.0
535,535,P538,11.5
536,536,P539,9.0
537,537,P540,18.0
538,538,P541,10.0
539,539,P542,11.0
540,540,P543,11.0
541,541,P544,11.0
542,542,P545,14.0
543,543,P546,11.0
544,544,P547,10.0
545,545,P548,33.0
546,546,P549,33.0
547,547,P550,9.0
548,548,P551,9.0
549,549,P552,8.5
550,550,P553,4.0
551,551,P554,18.0
552,552,P555,10.0
553,553,P556,14.0
554,554,P557,25.0
555,555,P558,12.0
556,556,P559,11.0
557,557,P560,10.0
558,558,P561,4.0
559,559,P562,4.5
560,560,P563,8.5
561,561,P564,9.0
562,562,P565,8.0
563,563,P566,18.0
564,564,P567,3.5
565,565,P568,3.0
566,566,P569,2.0
567,567,P570,2.0
568,568,P571,5.0
569,569,P572,1.0
570,570,P573,3.0
571,571,P574,0.0
572,572,P575,0.0
573,573,P576,0.0
574,574,P577,1.0
575,575,P578,0.0
576,576,P579,0.0
577,577,P580,3.0
578,578,P581,3.0
579,579,P582,2.0
580,580,P583,3.0
581,581,P584,3.0
582,582,P585,1.0
583,583,P586,5.5
584,584,P587,3.0
585,585,P588,2.0
586,586,P589,1.0
587,587,P590,3.0
588,588,P591,3.0
589,589,P592,1.0
590,590,P593,3.0
591,591,P594,3.0
592,592,P595,2.5
593,593,P596,5.0
594,594,P597,1.0
595,595,P598,12.0
596,596,P599,3.0
597,597,P600,1.5
598,598,P601,1.0
599,599,P602,1.0
600,600,P603,0.0
601,601,P604,0.0
602,602,P605,1.0
603,603,P606,1.0
604,604,P607,0.0
605,605,P608,0.0
606,606,P609,3.0
607,607,P610,3.5
608,608,P611,3.0
609,609,P612,13.0
610,610,P613,21.0
611,611,P614,5.0
612,612,P615,24.0
613,613,P616,5.0
614,614,P617,32.0
615,615,P618,34.0
616,616,P619,32.0
617,617,P620,30.0
618,618,P621,32.5
619,619,P622,33.5
620,620,P623,32.0
621,621,P624,8.5
622,622,P625,9.0
623,623,P626,9.0
624,624,P627,10.5
625,625,P628,8.0
626,626,P629,9.0
627,627,P630,8.0
628,628,P631,8.5
629,629,P632,10.0
630,630,P633,9.0
631,631,P634,10.0
632,632,P635,8.0
633,633,P636,11.5
634,634,P637,4.0
635,635,P638,12.0
636,636,P639,0.0
637,637,P640,17.0
638,638,P641,2.0
639,639,P642,3.0
640,640,P643,0.0
641,641,P644,0.0
642,642,P646,0.0
643,643,P647,0.0
644,644,P649,0.0
645,645,P650,0.0
646,646,P651,0.0
647,647,P652,0.0
648,648,P653,0.0
649,649,P654,0.0
650,650,P655,0.0
651,651,P656,0.0
652,652,P657,0.0
653,653,P658,0.0
654,654,P659,0.0
655,655,P660,0.0
656,656,P661,0.0
657,657,P662,0.0
658,658,P663,1.0
659,659,P664,0.0
660,660,P665,0.0
661,661,P666,0.0
662,662,P667,0.0
663,663,P668,0.0
664,664,P669,0.0
665,665,P670,1.0
666,666,P671,0.0
667,667,P672,0.0
668,668,P673,3.0
669,669,P674,7.0
670,670,P675,5.0
671,671,P676,3.0
672,672,P677,0.0
673,673,P678,0.0
674,674,P679,0.0
675,675,P680,0.0
676,676,P681,0.0
677,677,P682,0.0
678,678,P683,0.0
679,679,P684,0.0
680,680,P685,0.0
681,681,P686,2.0
682,682,P687,1.0
683,683,P688,0.0
684,684,P689,0.0
685,685,P690,0.0
686,686,P691,0.0
687,687,P692,2.0
688,688,P693,2.0
689,689,P694,0.0
690,690,P695,0.0
691,691,P696,0.0
692,692,P697,0.0
693,693,P698,2.0
694,694,P699,1.0
695,695,P700,0.0
696,696,P701,2.5
697,697,P702,5.0
698,698,P703,3.0
699,699,P704,1.0
700,700,P705,2.0
701,701,P706,1.0
702,702,P707,0.0
703,703,P708,0.0
704,704,P711,0.0
705,705,P712,0.0
706,706,P713,0.0
707,707,P714,0.0
708,708,P715,0.0
709,709,P716,0.0
710,710,P717,0.0
711,711,P718,0.0
712,712,P719,0.0
713,713,P720,0.0
714,714,P721,0.0
715,715,P722,0.0
716,716,P724,0.0
717,717,P726,1.0
718,718,P727,3.0
719,719,P728,1.0
720,720,P729,0.0
721,721,P730,0.0
722,722,P731,0.0
723,723,P732,1.0
724,724,P733,0.5
725,725,P734,0.0
726,726,P735,0.0
727,727,P736,1.0
728,728,P737,3.0
729,729,P738,0.0
730,730,P739,0.0
731,731,P740,0.0
732,732,P741,0.0
733,733,P742,1.0
734,734,P743,1.0
735,735,P744,0.0
736,736,P745,4.0
737,737,P746,1.0
738,738,P747,2.5
739,739,P748,0.0
740,740,P749,0.5
741,741,P750,0.0
742,742,P751,0.0
743,743,P752,2.0
744,744,P753,1.0
745,745,P754,1.0
746,746,P755,0.0
747,747,P756,0.0
748,748,P757,0.0
749,749,P758,0.0
750,750,P759,0.0
751,751,P760,0.0
752,752,P761,0.0
753,753,P762,1.0
754,754,P763,0.0
755,755,P764,3.0
756,756,P765,0.0
757,757,P766,0.0
758,758,P767,1.0
759,759,P768,4.0
760,760,P769,1.0
761,761,P770,0.0
762,762,P771,0.0
763,763,P772,0.0
764,764,P773,0.0
765,765,P774,0.0
766,766,P775,0.0
767,767,P776,0.0
768,768,P777,0.0
769,769,P778,0.0
770,770,P779,0.0
771,771,P780,0.0
772,772,P781,16.0
773,773,P782,3.0
774,774,P783,13.0
775,775,P784,3.0
776,776,P785,2.0
777,777,P786,2.0
778,778,P787,1.0
779,779,P788,3.0
780,780,P789,3.0
781,781,P790,2.5
782,782,P791,5.0
783,783,P792,1.0
784,784,P793,3.0
785,785,P794,0.0
786,786,P795,0.0
787,787,P796,3.0
788,788,P797,3.0
789,789,P798,2.0
790,790,P799,4.0
791,791,P800,1.0
792,792,P801,3.0
793,793,P802,0.0
794,794,P803,3.0
795,795,P804,3.0
796,796,P805,2.0
797,797,P806,5.0
798,798,P807,1.0
799,799,P808,3.0
800,800,P809,0.0
801,801,P810,0.0
802,802,P811,4.0
803,803,P812,1.5
804,804,P813,2.0
805,805,P814,4.0
806,806,P815,0.0
807,807,P816,2.0
808,808,P817,0.0
809,809,P818,0.0
810,810,P819,0.0
