,JobpostID,Duration
437,437,DURATION:  01 August 2004 - 10 September 2004 (4-5 days per week)
445,445,DURATION:  No limit.
452,452,DURATION:  a long-term project
454,454,DURATION:  1 month
463,463,"DURATION:  The position tenure will initially be one month, with the"
464,464,DURATION:  3 months
467,467,DURATION:  Permanent
468,468,DURATION:  Permanent
470,470,DURATION:  3 months probation with extension up to 1 year.
471,471,DURATION:  Permanent
472,472,DURATION:  Permanent
475,475,DURATION:  One month extended
477,477,DURATION:  3 to 6 months
481,481,DURATION:  8 months
483,483,DURATION:  Flexible
484,484,DURATION:  6-12 months
485,485,DURATION:  3-12 months
502,502,DURATION:  2 weeks
510,510,DURATION:  Permanent
511,511,DURATION:  Permanent
512,512,DURATION:  Permanent
514,514,DURATION:  Permanent
515,515,DURATION:  Permanent
516,516,DURATION:  Permanent
517,517,DURATION:  Permanent
518,518,DURATION:  Permanent
519,519,DURATION:  Permanent (Will change to full time as demand increases)
520,520,DURATION:  Based on terms of contract
525,525,DURATION:  Based on terms of contract
526,526,DURATION:  Based on terms of contract
527,527,DURATION:  Based on terms of contract
528,528,DURATION:  Based on terms of contract
529,529,DURATION:  Based on terms of contract
530,530,DURATION:  3-month probation period
533,533,DURATION:  6 months
536,536,DURATION:  Based on terms of contract
541,541,DURATION:  6 months with possible extention of 3 years.
546,546,DURATION:  Continuos
547,547,DURATION:  2 days
555,555,DURATION:  9 months
556,556,DURATION:  Long term
558,558,DURATION:  2 years
566,566,"DURATION:  Long-term position, with a probationary period."
567,567,DURATION:  2 months
576,576,DURATION:  The internship will last for 10 months.
578,578,DURATION:  Permanent
583,583,DURATION:  1 Year
588,588,DURATION:  3 days
591,591,DURATION:  Permanent
592,592,DURATION:  Indefinite
593,593,DURATION:  Long term
594,594,DURATION:  12 months
598,598,DURATION:  Workshops will last two days in length.
599,599,DURATION:  4 months
610,610,DURATION:  Permanent
611,611,DURATION:  Not  limited
616,616,DURATION:  Up-to 6 weeks
630,630,DURATION:  1 year
637,637,DURATION:  Long-term
641,641,DURATION:  Constant Contract
646,646,"DURATION:  2 days, October 21-22, 2004"
648,648,DURATION:  Permanent
649,649,DURATION:  Permanent
650,650,DURATION:  Permanent
653,653,DURATION:  Long Term
658,658,DURATION:  Permanent
659,659,DURATION:  6-12 months
663,663,DURATION:  One academic year
664,664,"DURATION:  The position is open immediately, and will last 3 months with"
670,670,DURATION:  1 day
674,674,DURATION:  5 day
683,683,DURATION:  5 years
694,694,DURATION:  Continuous
695,695,DURATION:  One year after two months probation period
698,698,DURATION:  One day
709,709,DURATION:  Permanent
713,713,DURATION:  Finishes 01 January 2010
717,717,DURATION:  Permanent
718,718,DURATION:  7 months (likely to be extended beyond this date)
719,719,DURATION:  Permanent
720,720,DURATION:  Permanent
721,721,DURATION:  Permanent
722,722,DURATION:  Permanent
726,726,DURATION:  One year fixed-term initially
727,727,DURATION:  One year fixed-term initially
728,728,DURATION:  One-year service contract initially
735,735,DURATION:  January 2005  December 2009
737,737,DURATION:  Minimum 1 year contract
738,738,DURATION:  Long-term
740,740,DURATION:  Permanent
741,741,DURATION:  Permanent
745,745,DURATION:  3-5 years
746,746,DURATION:  3-5 years
747,747,DURATION:  3-5 years
748,748,"DURATION:  Long term, with one month probation period"
750,750,"DURATION:  Three months initially (approbatory period), with possible"
752,752,DURATION:  Permanent
753,753,DURATION:  3 month probation with an extension
754,754,DURATION:  3 months probation with an extension
755,755,DURATION:  Long-term. Depending on demonstrated achievements.
757,757,DURATION:  Permanent
758,758,DURATION:  Permanent
759,759,DURATION:  Permanent
762,762,DURATION:  Permanent
763,763,DURATION:  Permanent
764,764,DURATION:  Permanent
765,765,DURATION:  Permanent
766,766,DURATION:  3 days
767,767,DURATION:  Permanent
768,768,DURATION:  Permanent
769,769,DURATION:  Permanent
770,770,DURATION:  Permanent
777,777,DURATION:  Five years
778,778,DURATION:  Five years
779,779,DURATION:  Five years
780,780,DURATION:  Five years
801,801,DURATION:  Long-term. Depended on demonstrated achievements.
805,805,DURATION:  Unlimited
806,806,DURATION:  3-5  years
807,807,DURATION:  3-5 years
808,808,DURATION:  3-5 years
809,809,DURATION:  3-5 years
810,810,DURATION:  3-5 years
811,811,DURATION:  3-5 years
815,815,DURATION:  4 weeks
816,816,DURATION:  One year  initially
818,818,DURATION:  Permanent
819,819,DURATION:  Permanent
820,820,DURATION:  Permanent
821,821,DURATION:  Permanent
822,822,DURATION:  Permanent
823,823,DURATION:  Permanent
824,824,DURATION:  Permanent
826,826,DURATION:  Up to 1 week during the period of 06 February to 03 March
827,827,DURATION:  Permanent
828,828,DURATION:  Permanent
829,829,DURATION:  Permanent
835,835,DURATION:  Permanent
836,836,DURATION:  Permanent
837,837,DURATION:  Permanent
838,838,DURATION:  Permanent
839,839,DURATION:  Permanent
841,841,DURATION:  Permanent
857,857,DURATION:  Long term
858,858,DURATION:  Long term
859,859,DURATION:  Long term
860,860,DURATION:  Long term/ permanent
861,861,DURATION:  Long term
862,862,DURATION:  Long term/ Permanent
863,863,DURATION:  Long term
864,864,DURATION:  Long term
865,865,DURATION:  Long term
866,866,DURATION:  Long term
867,867,DURATION:  Long term
868,868,DURATION:  Long term
869,869,DURATION:  Permanent
870,870,DURATION:  Long term
871,871,DURATION:  Long term
872,872,DURATION:  Long term
873,873,DURATION:  Long term
874,874,DURATION:  Long term
876,876,DURATION:  Long term
877,877,DURATION:  Long term
878,878,DURATION:  Indefinite
879,879,DURATION:  Indefinite
881,881,DURATION:  Permanent
883,883,DURATION:  Permanent
884,884,DURATION:  Permanent
885,885,DURATION:  Permanent
886,886,DURATION:  Long Term
887,887,DURATION:  1 year
893,893,DURATION:  Long Term
894,894,DURATION:  Long term
895,895,DURATION:  Long term
896,896,DURATION:  Long term
897,897,DURATION:  1 year
906,906,DURATION:  Permanent
907,907,DURATION:  1 year
914,914,DURATION:  Long-term
919,919,DURATION:  Short-term
920,920,DURATION:  Two years
921,921,DURATION:  Permanent
930,930,DURATION:  3 months
931,931,DURATION:  Permanent
933,933,DURATION:  Long term
934,934,DURATION:  Permanent
935,935,DURATION:  Permanent
936,936,DURATION:  Permanent
937,937,DURATION:  Permanent
938,938,DURATION:  Permanent
939,939,DURATION:  Part-time
941,941,DURATION:  Permanent
942,942,DURATION:  Long term
943,943,DURATION:  Permanent
944,944,DURATION:  One year fixed-term initially with possible extension
945,945,DURATION:  Permanent
946,946,DURATION:  Permanent
947,947,DURATION:  Permanent
948,948,DURATION:  Permanent
949,949,DURATION:  Permanent
950,950,DURATION:  Permanent
956,956,DURATION:  Permanent
957,957,DURATION:  Permanent
958,958,DURATION:  Permanent
959,959,DURATION:  Permanent
960,960,DURATION:  Permanent
965,965,DURATION:  2-3 weeks
967,967,DURATION:  Permanent
969,969,DURATION:  Permanent
972,972,DURATION:  Long term assignment after 3 month probation
973,973,"DURATION:  14 February to 04 March 2005, consultancy not to exceed 15"
983,983,DURATION:  6 months
987,987,DURATION:  Permanent
990,990,DURATION:  One year fixed-term initially
1000,1000,DURATION:  6-12 months
1001,1001,DURATION:  3 months with possible extension to 6 months
1004,1004,DURATION:  Permanent
1014,1014,DURATION:  Permanent
1018,1018,DURATION:  Permanent
1019,1019,DURATION:  1 month
1030,1030,DURATION:  Long-term
1043,1043,DURATION:  3 months
1056,1056,DURATION:  Full time
1062,1062,DURATION:  Full time
1066,1066,DURATION:  Long term
1076,1076,DURATION:  5 months
1086,1086,DURATION:  Long-term
1088,1088,DURATION:  6 months
1095,1095,DURATION:  2 hours
1109,1109,DURATION:  9 months
1120,1120,DURATION:  Long term
1121,1121,DURATION:  Long term
1122,1122,DURATION:  Long term
1125,1125,DURATION:  Permanent
1128,1128,DURATION:  Permanent
1129,1129,DURATION:  Permanent
1130,1130,DURATION:  Permanent
1131,1131,DURATION:  Permanent
1132,1132,DURATION:  One year
1133,1133,DURATION:  Permanent
1134,1134,DURATION:  Permanent
1135,1135,DURATION:  Permanent
1136,1136,DURATION:  Permanent
1137,1137,DURATION:  Permanent
1138,1138,DURATION:  Permanent
1139,1139,DURATION:  Permanent
1142,1142,DURATION:  Long term
1149,1149,DURATION:  23 May - 17 August 2005 (12 weeks)
1150,1150,DURATION:  23 May-17 August 2005 (12 weeks)
1154,1154,DURATION:  23 May - 17 August 2005 (12 weeks)
1157,1157,DURATION:  Long term
1159,1159,"DURATION:  5 months, with possible extension"
1161,1161,DURATION:  2 years with possible continuation
1164,1164,DURATION:  Continious
1167,1167,DURATION:  Long term (more than a year)
1168,1168,DURATION:  2-3 months
1169,1169,DURATION:  Permanent
1174,1174,DURATION:  Up to 6 months
1175,1175,DURATION:  Permanent
1177,1177,DURATION:  April-July 2005
1178,1178,DURATION:  5 months
1179,1179,DURATION:  Full time
1180,1180,DURATION:  8 months
1181,1181,DURATION:  April-July 2005
1185,1185,DURATION:  Permanent
1186,1186,DURATION:  Permanent
1187,1187,DURATION:  Permanent
1189,1189,DURATION:  Permanent
1190,1190,DURATION:  Permanent
1197,1197,DURATION:  One year
1199,1199,DURATION:  Long term
1201,1201,DURATION:  Full time
1203,1203,DURATION:  Continuous
1204,1204,DURATION:  Continuous
1205,1205,DURATION:  Permanent
1211,1211,DURATION:  Long-term
1212,1212,DURATION:  Until 01 January 2006
1213,1213,DURATION:  Permanent
1214,1214,DURATION:  Permanent
1216,1216,DURATION:  Long term
1219,1219,DURATION:  Permanent
1220,1220,DURATION:  5 days
1221,1221,DURATION:  Permanent
1222,1222,DURATION:  2 years with possible continuation
1223,1223,DURATION:  2 years with possible continuation
1224,1224,DURATION:  2 years with possible continuation
1226,1226,DURATION:  Permanent
1227,1227,DURATION:  3 months
1228,1228,DURATION:  3 years
1229,1229,DURATION:  Permanent
1230,1230,DURATION:  2 months with possible extension
1231,1231,DURATION:  One year contract including three months probation period
1239,1239,DURATION:  23 May-17 August 2005
1240,1240,DURATION:  23 May-17 August 2005
1245,1245,DURATION:  Permanent
1246,1246,DURATION:  One year with a possible extension.
1247,1247,DURATION:  Permanent
1248,1248,DURATION:  Permanent
1249,1249,DURATION:  Long term
1253,1253,DURATION:  Permanent
1254,1254,DURATION:  Permanent
1255,1255,DURATION:  Permanent
1256,1256,DURATION:  Permanent
1257,1257,DURATION:  Permanent
1258,1258,DURATION:  Permanent
1259,1259,DURATION:  Permanent
1260,1260,DURATION:  Permanent
1261,1261,DURATION:  Permanent
1262,1262,DURATION:  Long term
1264,1264,DURATION:  6 months with possible extension
1265,1265,DURATION:  10 days
1270,1270,DURATION:  Permanent
1271,1271,DURATION:  Permanent
1272,1272,DURATION:  Permanent
1273,1273,DURATION:  The successful candidate will be offered one-year contract
1276,1276,DURATION:  6 months
1277,1277,DURATION:  Permanent
1280,1280,DURATION:  Permanent
1281,1281,DURATION:  3 months probation with possible extension
1292,1292,DURATION:  Minimum of 2 years commitment
1293,1293,DURATION:  12 months
1294,1294,DURATION:  12 months
1295,1295,DURATION:  12 months
1296,1296,DURATION:  12 months
1297,1297,DURATION:  Durable
1298,1298,DURATION:  Minimum one year contract
1299,1299,DURATION:  Long term
1301,1301,DURATION:  Permanent
1303,1303,DURATION:  Permanent
1304,1304,DURATION:  Continous
1305,1305,DURATION:  Continuous
1306,1306,DURATION:  Continous
1307,1307,DURATION:  Permanent
1309,1309,DURATION:  Long term
1310,1310,DURATION:  14-20 May 2005
1311,1311,DURATION:  4 hours
1314,1314,DURATION:  5 years
1317,1317,DURATION:  1 year with possible prolongation
1324,1324,DURATION:  Permanent
1325,1325,DURATION:  Permanent
1327,1327,DURATION:  Permanent
1329,1329,DURATION:  One year fixed-term initially with possible extension
1334,1334,DURATION:  Permanent
1335,1335,DURATION:  2 months
1343,1343,DURATION:  Till 05 October 2005
1350,1350,DURATION:  One year or more
1358,1358,DURATION:  Short term
1360,1360,DURATION:  Short term
1361,1361,DURATION:  Short term
1362,1362,DURATION:  Till the end of the year
1364,1364,DURATION:  Till the end of the year
1365,1365,DURATION:  Long term
1369,1369,DURATION:  More than 2 years
1375,1375,DURATION:  27-29 June 2005
1377,1377,DURATION:  Permanent
1379,1379,DURATION:  Permanent
1380,1380,DURATION:  Permanent
1381,1381,DURATION:  Permanent
1382,1382,DURATION:  Permanent
1384,1384,DURATION:  27-29 June 2005
1385,1385,DURATION:  Long term
1387,1387,DURATION:  Permanent
1390,1390,DURATION:  Permanent
1391,1391,DURATION:  At least 12 months
1393,1393,DURATION:  13-15 July  2005
1397,1397,DURATION:  9 months
1398,1398,DURATION:  Permanent
1400,1400,DURATION:  One-year contract (renewable) fixed term
1402,1402,DURATION:  9 months
1403,1403,DURATION:  9 months
1410,1410,DURATION:  Permanent
1411,1411,"DURATION:  Permanent, with a month's probation period."
1413,1413,DURATION:  Permanent
1414,1414,DURATION:  Permanent
1415,1415,"DURATION:  Long term, with two probation periods"
1416,1416,DURATION:  Permanent
1417,1417,DURATION:  Permanent
1418,1418,DURATION:  Permanent
1419,1419,DURATION:  Permanent
1420,1420,DURATION:  Permanent
1421,1421,DURATION:  Long term
1422,1422,DURATION:  Permanent
1423,1423,DURATION:  Permanent
1427,1427,DURATION:  3-5 years
1428,1428,DURATION:  3-5 years
1429,1429,DURATION:  3-5 years
1430,1430,DURATION:  3-5 years
1433,1433,DURATION:  11:00 - 13:00
1438,1438,DURATION:  Two week general training course 5  16 September 2005.  One
1439,1439,DURATION:  Long-term
1444,1444,DURATION:  2 hours (16:00-18:00)
1446,1446,DURATION:  Long-term
1453,1453,DURATION:  Three months probation with possibility of extension up to
1455,1455,DURATION:  Durable
1458,1458,DURATION:  Long term
1462,1462,DURATION:  Long term assignment after 3 months probation period
1463,1463,DURATION:  Short-term internship (one-month)
1464,1464,DURATION:  Permanent
1468,1468,DURATION:  Permanent
1472,1472,DURATION:  Long-term
1473,1473,DURATION:  Long term
1474,1474,DURATION:  One - year contract (renewable)
1475,1475,DURATION:  Long term
1476,1476,DURATION:  Long term (depended on demonstrated achievements)
1481,1481,DURATION:  1 year with possible extension
1491,1491,DURATION:  Long-term
1492,1492,DURATION:  Long term
1493,1493,"DURATION:  11-13 July  2005, 15:00-18:00"
1494,1494,DURATION:  5 years
1495,1495,DURATION:  2 years
1496,1496,DURATION:  Six hours
1497,1497,DURATION:  Long term
1498,1498,DURATION:  5 years
1499,1499,DURATION:  5 years
1501,1501,DURATION:  One year
1502,1502,DURATION:  Permanent
1503,1503,DURATION:  Permanent
1504,1504,DURATION:  Permanent
1505,1505,DURATION:  Permanent
1506,1506,DURATION:  Permanent
1507,1507,DURATION:  Permanent
1508,1508,DURATION:  Long term
1510,1510,DURATION:  Long-term
1513,1513,DURATION:  Permanent
1536,1536,DURATION:  Long-term
1542,1542,DURATION:  Permanent
1545,1545,DURATION:  1 year
1548,1548,DURATION:  Long-term
1549,1549,DURATION:  Long-term
1550,1550,DURATION:  5 or 6 months
1553,1553,"DURATION:  2 months, possible extention with contract"
1558,1558,DURATION:  Contract with 3 months probation period.
1559,1559,DURATION:  Long term
1560,1560,DURATION:  Long-term
1562,1562,DURATION:  Contract with 3 months probation period.
1564,1564,DURATION:  Long term
1565,1565,DURATION:  Long term
1570,1570,DURATION:  Long term
1571,1571,DURATION:  Long term
1572,1572,DURATION:  Permanent
1573,1573,DURATION:  Long term
1576,1576,DURATION:  Durable
1579,1579,DURATION:  Permanent
1580,1580,DURATION:  Long term
1581,1581,DURATION:  Long term
1582,1582,DURATION:  Long term
1583,1583,DURATION:  Long term
1585,1585,DURATION:  Long term
1588,1588,DURATION:  11 months
1591,1591,DURATION:  Long-term
1592,1592,DURATION:  Long term
1594,1594,DURATION:  Long term
1595,1595,DURATION:  4 months
1596,1596,DURATION:  Permanent
1598,1598,DURATION:  Long term
1599,1599,DURATION:  Long term
1600,1600,DURATION:  Long term
1601,1601,"DURATION:  2,5 months (limited period)"
1602,1602,DURATION:  Long term
1603,1603,DURATION:  Long term
1604,1604,DURATION:  Long term
1605,1605,DURATION:  Long term
1606,1606,DURATION:  Long term
1607,1607,DURATION:  Long-term
1608,1608,DURATION:  Long-term
1611,1611,DURATION:  Long term
1614,1614,DURATION:  3 years
1616,1616,DURATION:  3 Years
1617,1617,DURATION:  14 months
1618,1618,DURATION:  14 months
1619,1619,DURATION:  3 Years
1621,1621,DURATION:  12 months
1622,1622,DURATION:  1 to 3 years
1632,1632,DURATION:  Long-term
1633,1633,DURATION:  Long-term
1634,1634,"DURATION:  Permanent, with 2-month trial period"
1635,1635,DURATION:  Long-term
1637,1637,DURATION:  Long-term
1640,1640,DURATION:  Long term
1643,1643,DURATION:  Long term
1644,1644,DURATION:  Long term
1646,1646,DURATION:  Long term
1648,1648,DURATION:  2 years
1650,1650,DURATION:  Till 01 June 2006
1651,1651,DURATION:  Long-term
1654,1654,DURATION:  One year
1657,1657,DURATION:  Permanent
1658,1658,DURATION:  Long term
1667,1667,DURATION:  Initial six-month renewable contracts
1671,1671,DURATION:  Long term
1673,1673,DURATION:  Long-term
1674,1674,DURATION:  Long-term
1678,1678,DURATION:  Six-month contract with possible extension
1679,1679,DURATION:  40 days
1681,1681,DURATION:  Long term
1683,1683,DURATION:  Long term
1685,1685,"DURATION:  1,5 month (with a possible extension)"
1687,1687,DURATION:  Permanent
1688,1688,DURATION:  Permanent
1689,1689,DURATION:  Long term
1690,1690,DURATION:  Long-term
1691,1691,DURATION:  Long term
1695,1695,DURATION:  Long term
1700,1700,DURATION:  Long term
1702,1702,DURATION:  Long term
1703,1703,DURATION:  2 years
1704,1704,DURATION:  2 years
1705,1705,DURATION:  Long term
1708,1708,DURATION:  Long time
1709,1709,DURATION:  Long time
1710,1710,DURATION:  Long term
1711,1711,DURATION:  Long term
1714,1714,DURATION:  One-year service contract initially
1721,1721,DURATION:  Long term
1724,1724,"DURATION:  One year, with possible extension"
1727,1727,DURATION:  5 hours
1730,1730,DURATION:  Long term
1731,1731,DURATION:  Long term
1732,1732,DURATION:  Permanent
1735,1735,DURATION:  Long-term
1736,1736,DURATION:  Permanent
1737,1737,DURATION:  Permanent
1738,1738,DURATION:  3 months with a long term employment possibility
1740,1740,DURATION:  Permanent
1741,1741,DURATION:  Long term
1743,1743,DURATION:  3 hours
1744,1744,DURATION:  Long term
1745,1745,DURATION:  Long term
1746,1746,DURATION:  Long term
1747,1747,DURATION:  Long term
1748,1748,DURATION:  Long term
1749,1749,DURATION:  Long term
1750,1750,DURATION:  Long term
1753,1753,DURATION:  Permanent
1754,1754,DURATION:  Long term (with probation period)
1755,1755,DURATION:  Long term
1759,1759,DURATION:  Long term
1760,1760,DURATION:  1 year
1761,1761,DURATION:  Long term
1762,1762,DURATION:  Long term
1765,1765,"DURATION:  Till 31 December 2005, with possible continuation"
1767,1767,DURATION:  Long-term
1768,1768,DURATION:  Long-term
1769,1769,DURATION:  Long term
1772,1772,DURATION:  Long term
1773,1773,DURATION:  2 years (initial term 3 months)
1774,1774,DURATION:  Long-term
1775,1775,DURATION:  1-4 October 2005
1778,1778,DURATION:  Long-term
1782,1782,DURATION:  Permanent
1784,1784,"DURATION:  Long term, with 2 months probation period"
1790,1790,DURATION:  2 months
1791,1791,DURATION:  Long time
1793,1793,"DURATION:  Long term, with 2 months probation period"
1794,1794,"DURATION:  Long term, with 2 months probation period"
1795,1795,DURATION:  Long-term contract (after probationary period)
1797,1797,DURATION:  Long term
1799,1799,DURATION:  Long term
1801,1801,DURATION:  Long term
1802,1802,DURATION:  Long term
1803,1803,DURATION:  Permanent
1805,1805,DURATION:  Long term
1806,1806,DURATION:  Long term
1809,1809,DURATION:  6 months
1810,1810,DURATION:  6 months
1812,1812,DURATION:  1 year
1815,1815,DURATION:  1 year
1817,1817,DURATION:  Long-term
1821,1821,DURATION:  Long-term
1822,1822,DURATION:  Long-term
1824,1824,DURATION:  Long-term
1825,1825,DURATION:  Long-term
1827,1827,DURATION:  Long-term
1828,1828,DURATION:  Long term
1829,1829,DURATION:  Long term
1830,1830,DURATION:  Long term
1831,1831,DURATION:  Long term
1833,1833,DURATION:  Long-term
1835,1835,DURATION:  One year initially
1837,1837,DURATION:  Long term
1840,1840,DURATION:  04 November 2005 - 30 May 2006
1841,1841,DURATION:  Long term
1845,1845,DURATION:  Long term
1849,1849,DURATION:  3 months
1850,1850,DURATION:  Long term
1854,1854,DURATION:  Long-term
1855,1855,DURATION:  Long term
1859,1859,DURATION:  Long term
1860,1860,DURATION:  Long term
1861,1861,DURATION:  Long term
1862,1862,DURATION:  7 months
1863,1863,"DURATION:  1 year, with one-month probation period"
1864,1864,DURATION:  Long term
1865,1865,"DURATION:  1 year, with possible extension"
1866,1866,DURATION:  Long term
1868,1868,DURATION:  Long term
1869,1869,DURATION:  Long term
1871,1871,DURATION:  Long term (1 year)
1872,1872,DURATION:  Long term
1875,1875,DURATION:  Long term
1880,1880,DURATION:  Long term
1886,1886,DURATION:  2 weeks assignment for a concrete professional task with
1888,1888,DURATION:  Long term
1889,1889,DURATION:  Long term
1894,1894,DURATION:  Long term
1895,1895,DURATION:  Long-term (after probationary period)
1896,1896,DURATION:  Long term
1899,1899,"DURATION:  Long-term, depended on demonstrated achievements after two"
1901,1901,DURATION:  Permanent
1903,1903,DURATION:  4 months on paid basis
1904,1904,DURATION:  Three months probation with possible extension up to one year
1905,1905,DURATION:  4 months on paid basis
1906,1906,DURATION:  4 months on paid basis
1907,1907,DURATION:  4 months on paid basis
1910,1910,DURATION:  1 year with possible extension. Three months probation
1912,1912,DURATION:  Permanent
1913,1913,DURATION:  1 year
1914,1914,DURATION:  The first three months will be considered as probationary
1915,1915,DURATION:  The first three months will be considered as probationary
1919,1919,DURATION:  Long term
1922,1922,DURATION:  5 years
1929,1929,DURATION:  Long Term
1931,1931,DURATION:  Permanent
1936,1936,DURATION:  Long term
1938,1938,DURATION:  1 year
1939,1939,DURATION:  1 year
1941,1941,"DURATION:  Short term, long term"
1942,1942,"DURATION:  6 months, with possible extension to one year."
1947,1947,DURATION:  Full time
1949,1949,DURATION:  Long term
1950,1950,DURATION:  Full time
1951,1951,DURATION:  Long term
1953,1953,DURATION:  Permanent
1954,1954,DURATION:  5 years
1957,1957,DURATION:  Long term
1961,1961,DURATION:  At least 12 months.
1962,1962,DURATION:  2 years
1966,1966,DURATION:  6 weeks
1967,1967,DURATION:  2 years
1968,1968,DURATION:  Permanent
1969,1969,DURATION:  Contractual
1971,1971,DURATION:  Long term
1974,1974,DURATION:  Permanent
1977,1977,"DURATION:  Long-term, free lance"
1979,1979,DURATION:  3 Years
1980,1980,DURATION:  Permanent
1981,1981,DURATION:  Long term
1982,1982,DURATION:  6 months
1983,1983,"DURATION:  Permanent, with 3 months probation period."
1984,1984,DURATION:  Full time
1985,1985,DURATION:  Long term
1986,1986,DURATION:  Long term
1987,1987,DURATION:  24-26 February 2006
1989,1989,DURATION:  Long-term
1990,1990,DURATION:  Long term
1993,1993,DURATION:  2 years (with possible extension)
1994,1994,DURATION:  Long-term
1995,1995,DURATION:  Long-term
1998,1998,DURATION:  Long term
1999,1999,DURATION:  Long term
2000,2000,DURATION:  Permanent
2002,2002,DURATION:  6 months
2004,2004,DURATION:  Permanent
2006,2006,DURATION:  Long term
2007,2007,DURATION:  Long term
2013,2013,DURATION:  Long term
2014,2014,DURATION:  Long term
2016,2016,DURATION:  Long term
2017,2017,DURATION:  Long term
2020,2020,DURATION:  Six months
2023,2023,DURATION:  Long term
2024,2024,DURATION:  12 months - renewable
2025,2025,DURATION:  Permanent
2026,2026,DURATION:  Permanent
2027,2027,DURATION:  Permanent
2028,2028,DURATION:  Long term
2031,2031,DURATION:  6 months
2032,2032,DURATION:  6 months
2034,2034,DURATION:  Permanent
2035,2035,DURATION:  Long term
2036,2036,DURATION:  Permanent (3 months provisional)
2038,2038,DURATION:  Long term
2045,2045,DURATION:  3 months probation period with further extension.
2047,2047,DURATION:  6 months
2049,2049,DURATION:  3 years
2054,2054,"DURATION:  Long term, with 2  months probation period."
2055,2055,DURATION:  Permanent
2056,2056,DURATION:  Permanent
2057,2057,DURATION:  Permanent
2058,2058,DURATION:  Long term
2059,2059,DURATION:  Long term and short term
2060,2060,DURATION:  3 months
2062,2062,DURATION:  Long term
2065,2065,DURATION:  Long term
